Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,C,AA,13,2,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,C,PN,30,2,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,C,AI,37,3,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,C,PA,60,2,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,C,PI,103,3,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,D,PN,4,5,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,D,AA,54,2,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,D,AI,84,5,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,D,PA,97,1,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,D,PI,114,7,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,E,PA,34,1,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,E,AI,52,5,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,E,AA,75,3,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,E,PN,94,7,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,E,PI,109,6,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,M,PA,9,2,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,M,AA,28,7,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,M,PN,73,3,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,M,PI,88,2,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,M,AI,99,5,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,P,PI,19,7,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,P,PN,39,7,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,P,AA,67,3,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,P,PA,79,7,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,P,AI,117,7,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,S,AI,7,6,B
Lfd_00,152RI,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW,S,PI,45,4,B
