Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_00,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,C,AA,13,7,B
Lfd_00,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,C,PN,30,5,B
Lfd_00,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,C,AI,37,6,B
Lfd_00,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,C,PA,60,3,B
Lfd_01,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,C,PI,103,3,B
Lfd_02,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,D,PN,4,6,B
Lfd_03,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,D,AA,54,5,B
Lfd_04,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,D,AI,84,7,B
Lfd_05,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,D,PA,97,6,B
Lfd_06,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,D,PI,114,7,B
Lfd_07,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,E,PA,34,3,B
Lfd_08,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,E,AI,52,6,B
Lfd_09,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,E,AA,75,6,B
Lfd_10,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,E,PN,94,7,B
Lfd_11,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,E,PI,109,7,B
Lfd_12,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,M,PA,9,3,B
Lfd_13,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,M,AA,28,7,B
Lfd_14,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,M,PN,73,4,B
Lfd_15,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,M,PI,88,2,B
Lfd_16,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,M,AI,99,6,B
Lfd_17,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,P,PI,19,7,B
Lfd_18,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,P,PN,39,7,B
Lfd_19,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,P,AA,67,7,B
Lfd_20,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,P,PA,79,7,B
Lfd_21,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,P,AI,117,7,B
Lfd_22,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,S,AI,7,6,B
Lfd_23,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,S,PI,45,7,B
Lfd_24,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,S,PN,58,7,B
Lfd_25,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,S,AI,90,7,B
Lfd_26,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,S,PA,119,4,B
Lfd_27,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,T,PI,22,7,B
Lfd_28,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,T,AA,43,7,B
Lfd_29,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,T,AI,64,7,B
Lfd_30,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,T,PN,82,7,B
Lfd_31,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,T,PA,112,7,B
Lfd_32,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,U,PA,15,6,B
Lfd_33,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,U,AI,24,7,B
Lfd_34,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,U,PN,49,7,B
Lfd_35,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,U,PI,69,7,B
Lfd_36,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,U,AA,105,6,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,C,AA,13,5,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,C,PN,30,6,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,C,AI,37,3,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,C,PA,60,1,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,C,PI,103,1,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,D,PN,4,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,D,AA,54,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,D,AI,84,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,D,PA,97,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,D,PI,114,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,E,PA,34,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,E,AI,52,6,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,E,AA,75,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,E,PN,94,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,E,PI,109,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,M,PA,9,2,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,M,AA,28,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,M,PN,73,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,M,PI,88,5,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,M,AI,99,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,P,PI,19,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,P,PN,39,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,P,AA,67,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,P,PA,79,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,P,AI,117,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,S,AI,7,6,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,S,PI,45,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,S,PN,58,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,S,AI,90,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,S,PA,119,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,T,PI,22,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,T,AA,43,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,T,AI,64,6,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,T,PN,82,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,T,PA,112,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,U,PA,15,3,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,U,AI,24,3,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,U,PN,49,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,U,PI,69,7,B
Lfd_01,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,U,AA,105,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,C,AA,13,5,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,C,PN,30,1,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,C,AI,37,3,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,C,PA,60,1,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,C,PI,103,1,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,D,PN,4,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,D,AA,54,1,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,D,AI,84,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,D,PA,97,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,D,PI,114,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,E,PA,34,3,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,E,AI,52,4,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,E,AA,75,6,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,E,PN,94,6,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,E,PI,109,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,M,PA,9,1,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,M,AA,28,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,M,PN,73,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,M,PI,88,2,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,M,AI,99,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,P,PI,19,6,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,P,PN,39,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,P,AA,67,6,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,P,PA,79,7,B
Lfd_02,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,P,AI,117,7,B
